epoch,step,test/rmse,train/loss,val/rmse,val_loss
0,49,,0.006475288886576891,,
0,99,,0.006178139243274927,,
0,149,,0.005633900873363018,,
0,199,,0.005560155492275953,,
0,249,,0.005512942560017109,,
0,299,,0.005906821694225073,,
0,349,,0.005404118448495865,,
0,399,,0.005048513878136873,,
0,449,,0.005170261021703482,,
0,499,,0.005021810531616211,,
0,549,,0.0053762453608214855,,
0,599,,0.005262128077447414,,
0,649,,0.004660769831389189,,
0,699,,0.004514859989285469,,
0,749,,0.005062061361968517,,
0,760,,,0.06938602030277252,0.06938602030277252
1,799,,0.004775764886289835,,
1,849,,0.004949883092194796,,
1,899,,0.004728511907160282,,
1,949,,0.004277332685887814,,
1,999,,0.004738941323012114,,
1,1049,,0.004563000053167343,,
1,1099,,0.004653553012758493,,
1,1149,,0.004356570541858673,,
1,1199,,0.004430197179317474,,
1,1249,,0.004794565495103598,,
1,1299,,0.004681046586483717,,
1,1349,,0.004436574876308441,,
1,1399,,0.0041117314249277115,,
1,1449,,0.004491593223065138,,
1,1499,,0.004321706015616655,,
1,1521,,,0.06592603027820587,0.06592603027820587
2,1549,,0.004234619904309511,,
2,1599,,0.004406210966408253,,
2,1649,,0.0041577075608074665,,
2,1699,,0.0038444336969405413,,
2,1749,,0.004175507929176092,,
2,1799,,0.0038218433037400246,,
2,1849,,0.003979446366429329,,
2,1899,,0.003876756178215146,,
2,1949,,0.0038278463762253523,,
2,1999,,0.0038578070234507322,,
2,2049,,0.003989959601312876,,
2,2099,,0.0034909541718661785,,
2,2149,,0.003655049717053771,,
2,2199,,0.0036788703873753548,,
2,2249,,0.0035143832210451365,,
2,2282,,,0.06136871874332428,0.06136871874332428
3,2283,0.09934698045253754,,,
