epoch,step,train/loss,val/rmse,val_loss
0,49,0.007404380012303591,,
0,99,0.006338715553283691,,
0,149,0.0061081224121153355,,
0,199,0.005501801613718271,,
0,249,0.006081572733819485,,
0,299,0.005853693932294846,,
0,349,0.006215719506144524,,
0,399,0.006109130568802357,,
0,449,0.005210857838392258,,
0,499,0.005441280547529459,,
0,549,0.005030744709074497,,
0,599,0.005516648292541504,,
0,649,0.0060107409954071045,,
0,699,0.004978969693183899,,
0,749,0.0050766305066645145,,
0,799,0.005549670662730932,,
0,849,0.0052034929394721985,,
0,899,0.00518273189663887,,
0,949,0.005029893480241299,,
0,999,0.005828313063830137,,
0,1049,0.005152031313627958,,
0,1099,0.004998722579330206,,
0,1149,0.005226599983870983,,
0,1199,0.0048071714118123055,,
0,1249,0.004839739296585321,,
0,1299,0.0055514732375741005,,
0,1349,0.004682158585637808,,
0,1399,0.004914429504424334,,
0,1449,0.005565162282437086,,
0,1499,0.004183792043477297,,
0,1549,0.004892077762633562,,
0,1599,0.005021919030696154,,
0,1649,0.004954375792294741,,
0,1699,0.005094839259982109,,
0,1749,0.004547821823507547,,
0,1799,0.005023427307605743,,
0,1849,0.00522506283596158,,
0,1899,0.005091264843940735,,
0,1947,,0.06906873732805252,0.06906873732805252
1,1949,0.005501395091414452,,
1,1999,0.004732357803732157,,
1,2049,0.004718955606222153,,
1,2099,0.004806861747056246,,
1,2149,0.005227784160524607,,
1,2199,0.005140043795108795,,
1,2249,0.004856097511947155,,
1,2299,0.004087136592715979,,
1,2349,0.004889883566647768,,
1,2399,0.004365286789834499,,
1,2449,0.004786946810781956,,
1,2499,0.00449021253734827,,
1,2549,0.00432765344157815,,
1,2599,0.004709417931735516,,
1,2649,0.005114550236612558,,
1,2699,0.0046426672488451,,
1,2749,0.004997711628675461,,
1,2799,0.004626973066478968,,
1,2849,0.004463509656488895,,
1,2899,0.005171718075871468,,
1,2949,0.004583672620356083,,
1,2999,0.004636670462787151,,
1,3049,0.005073118954896927,,
1,3099,0.004559399094432592,,
1,3149,0.004491861443966627,,
1,3199,0.004895235877484083,,
1,3249,0.004513171035796404,,
1,3299,0.004244010429829359,,
1,3349,0.004534364677965641,,
1,3399,0.004426126834005117,,
1,3449,0.0043959831818938255,,
