epoch,step,test/rmse,train/loss,val/rmse,val_loss
0,49,,0.007454759906977415,,
0,99,,0.006984156556427479,,
0,149,,0.006501756142824888,,
0,199,,0.0067316461354494095,,
0,249,,0.005903270095586777,,
0,299,,0.0059397355653345585,,
0,349,,0.005993365775793791,,
0,399,,0.005452961660921574,,
0,449,,0.005497778300195932,,
0,499,,0.005382239352911711,,
0,549,,0.004891848191618919,,
0,599,,0.005045240744948387,,
0,649,,0.004940859042108059,,
0,699,,0.005775712430477142,,
0,749,,0.005595640279352665,,
0,799,,0.004874293226748705,,
0,849,,0.00543223274871707,,
0,899,,0.005453149788081646,,
0,949,,0.00544657651335001,,
0,999,,0.0050571030005812645,,
0,1049,,0.0052129472605884075,,
0,1099,,0.004946552217006683,,
0,1149,,0.004821441136300564,,
0,1199,,0.004623095504939556,,
0,1249,,0.004912293516099453,,
0,1299,,0.004792493302375078,,
0,1349,,0.0048364149406552315,,
0,1399,,0.005063670687377453,,
0,1449,,0.004806957207620144,,
0,1499,,0.004876095335930586,,
0,1549,,0.006076288875192404,,
0,1599,,0.004316937644034624,,
0,1649,,0.005175228696316481,,
0,1699,,0.005628167185932398,,
0,1749,,0.0048012505285441875,,
0,1799,,0.004641072824597359,,
0,1849,,0.005292186047881842,,
0,1899,,0.005035290494561195,,
0,1947,,,0.06840398162603378,0.06840398162603378
1,1949,,0.004873220808804035,,
1,1999,,0.0045920684933662415,,
1,2049,,0.0049645076505839825,,
1,2099,,0.0045332652516663074,,
1,2149,,0.00450475700199604,,
1,2199,,0.0044006407260894775,,
1,2249,,0.005407661199569702,,
1,2299,,0.004350874572992325,,
1,2349,,0.004465907346457243,,
1,2399,,0.005056175868958235,,
1,2449,,0.004417135380208492,,
1,2499,,0.004509484861046076,,
1,2549,,0.004505918826907873,,
1,2599,,0.004431524313986301,,
1,2649,,0.004219430033117533,,
1,2699,,0.005065755918622017,,
1,2749,,0.00478992098942399,,
1,2799,,0.004603405483067036,,
1,2849,,0.0043394495733082294,,
1,2899,,0.003971007652580738,,
1,2949,,0.004629245959222317,,
1,2999,,0.0038955577183514833,,
1,3049,,0.0050371200777590275,,
1,3099,,0.004728337749838829,,
1,3149,,0.004445568658411503,,
1,3199,,0.004374035634100437,,
1,3249,,0.004885475616902113,,
1,3299,,0.00561380572617054,,
1,3349,,0.004791500512510538,,
1,3399,,0.004775898065418005,,
1,3449,,0.004817318171262741,,
1,3499,,0.004456434864550829,,
1,3549,,0.004395977593958378,,
1,3599,,0.00425290409475565,,
1,3649,,0.004455974325537682,,
1,3699,,0.003975362982600927,,
1,3749,,0.0039029030594974756,,
1,3799,,0.004806590732187033,,
1,3849,,0.0047721462324261665,,
1,3895,,,0.06583970040082932,0.06583970040082932
2,3899,,0.00446535786613822,,
2,3949,,0.0037333474028855562,,
2,3999,,0.004596935585141182,,
2,4049,,0.0044645643793046474,,
2,4099,,0.004314534366130829,,
2,4149,,0.004629948176443577,,
2,4199,,0.004062543157488108,,
2,4249,,0.0038996213115751743,,
2,4299,,0.004225811921060085,,
2,4349,,0.004135648719966412,,
2,4399,,0.004541527945548296,,
2,4449,,0.0037580407224595547,,
2,4499,,0.0049948119558393955,,
2,4549,,0.003983370028436184,,
2,4599,,0.004599173087626696,,
2,4649,,0.004399421624839306,,
2,4699,,0.004005825147032738,,
2,4749,,0.003913286607712507,,
2,4799,,0.004566723946481943,,
2,4849,,0.0037913431879132986,,
2,4899,,0.004115373827517033,,
2,4949,,0.004263959359377623,,
2,4999,,0.004192767199128866,,
2,5049,,0.0034953763242810965,,
2,5099,,0.0038663260638713837,,
2,5149,,0.0043632700107991695,,
2,5199,,0.0037740576080977917,,
2,5249,,0.0038755820132791996,,
2,5299,,0.004332062788307667,,
2,5349,,0.003590537002310157,,
2,5399,,0.003910013008862734,,
2,5449,,0.004477618262171745,,
2,5499,,0.0044113704934716225,,
2,5549,,0.00399309117347002,,
2,5599,,0.00371730700135231,,
2,5649,,0.003760693594813347,,
2,5699,,0.003601987846195698,,
2,5749,,0.0038563834968954325,,
2,5799,,0.003987603820860386,,
2,5843,,,0.06198756396770477,0.06198756396770477
3,5849,,0.00348459230735898,,
3,5899,,0.00432885717600584,,
3,5949,,0.004500063601881266,,
3,5999,,0.0044898767955601215,,
3,6049,,0.0038999554235488176,,
3,6099,,0.003612978383898735,,
3,6149,,0.003804053645581007,,
3,6199,,0.004363845102488995,,
3,6249,,0.003977440297603607,,
3,6299,,0.003424570430070162,,
3,6349,,0.0031142747029662132,,
3,6399,,0.003975330851972103,,
3,6449,,0.00391339510679245,,
3,6499,,0.003856223775073886,,
3,6549,,0.0040594544261693954,,
3,6599,,0.0036493956577032804,,
3,6649,,0.0036237111780792475,,
3,6699,,0.003794277785345912,,
3,6749,,0.00360106467269361,,
3,6799,,0.004422737285494804,,
3,6849,,0.004215269349515438,,
3,6899,,0.003802359336987138,,
3,6949,,0.003786133835092187,,
3,6999,,0.0041826083324849606,,
3,7049,,0.00417432002723217,,
3,7099,,0.003773029427975416,,
3,7149,,0.0038667002227157354,,
3,7199,,0.004005571361631155,,
3,7249,,0.003751435549929738,,
3,7299,,0.0036018025130033493,,
3,7349,,0.0038721102755516768,,
3,7399,,0.0034412939567118883,,
3,7449,,0.0029198667034506798,,
3,7499,,0.003959673456847668,,
3,7549,,0.003938377369195223,,
3,7599,,0.003598663257434964,,
3,7649,,0.00346118351444602,,
3,7699,,0.004540790803730488,,
3,7749,,0.003906526602804661,,
