epoch,step,test/rmse,train/loss
0,49,,0.006690265145152807
0,99,,0.0062131513841450214
1,149,,0.0058737862855196
1,199,,0.0065686325542628765
2,208,0.07817887514829636,
2,208,0.07698464393615723,
2,208,0.0784551203250885,
2,208,0.0782967060804367,
2,208,0.07823513448238373,
2,208,0.07675658911466599,
2,208,0.07832250744104385,
2,208,0.07836947590112686,
2,208,0.07862503826618195,
2,208,0.07821548730134964,
2,208,0.0785277783870697,
2,208,0.07834998518228531,
2,208,0.07851564139127731,
2,208,0.07651914656162262,
2,208,0.07835213840007782,
2,208,0.07816857844591141,
2,208,0.07842748612165451,
2,208,0.07828953862190247,
2,208,0.07853695750236511,
2,208,0.07848744839429855,
2,208,0.07847943156957626,
2,208,0.0783301591873169,
2,208,0.0783780887722969,
2,208,0.0784587487578392,
2,208,0.07808516919612885,
2,208,0.07831350713968277,
2,208,0.07821124792098999,
2,208,0.07822082191705704,
2,208,0.07833034545183182,
2,208,0.07815780490636826,
2,208,0.07805900275707245,
2,208,0.07824783027172089,
2,208,0.07840418070554733,
2,208,0.07854382693767548,
2,208,0.07834234088659286,
2,208,0.07812726497650146,
2,208,0.07816511392593384,
2,208,0.07825454324483871,
2,208,0.07833551615476608,
2,208,0.0785227045416832,
2,208,0.07885093986988068,
2,208,0.07837873697280884,
2,208,0.0785210058093071,
2,208,0.07836970686912537,
2,208,0.07851438224315643,
2,208,0.07844971865415573,
2,208,0.0786212831735611,
2,208,0.07841978967189789,
2,208,0.07870694249868393,
2,208,0.07830771058797836,
2,208,0.07861948758363724,
2,208,0.07840018719434738,
2,208,0.07825438678264618,
2,208,0.0780964121222496,
2,208,0.07826176285743713,
2,208,0.07830719649791718,
2,208,0.07834483683109283,
2,208,0.07849469035863876,
2,208,0.07817984372377396,
2,208,0.078466035425663,
2,208,0.07805101573467255,
2,208,0.07797513157129288,
2,208,0.07846863567829132,
2,208,0.07836953550577164,
2,208,0.07820329815149307,
2,208,0.07833074033260345,
2,208,0.0784977525472641,
2,208,0.07835457473993301,
2,208,0.07839261740446091,
2,208,0.07831364125013351,
2,208,0.07843685895204544,
2,208,0.07836830615997314,
2,208,0.07861170917749405,
2,208,0.07841845601797104,
2,208,0.07821876555681229,
2,208,0.07844267040491104,
2,208,0.07829698920249939,
2,208,0.07839127629995346,
2,208,0.07863132655620575,
2,208,0.07835380733013153,
2,208,0.07828862220048904,
2,208,0.07834799587726593,
2,208,0.07841283082962036,
2,208,0.07814864814281464,
2,208,0.07831806689500809,
2,208,0.07855884730815887,
2,208,0.0785985141992569,
2,208,0.07858512550592422,
2,208,0.07860846817493439,
2,208,0.07849095016717911,
2,208,0.07831545174121857,
2,208,0.07819322496652603,
2,208,0.07818394154310226,
2,208,0.07797298580408096,
2,208,0.07850134372711182,
2,208,0.07809285819530487,
2,208,0.07851840555667877,
2,208,0.07825043797492981,
2,208,0.07819075137376785,
2,208,0.07815810292959213,
