epoch,step,test/rmse,train/loss
0,49,,0.008717134594917297
0,99,,0.008907612413167953
1,149,,0.00924705434590578
1,199,,0.008654230274260044
2,208,0.09176605939865112,
2,208,0.09148134291172028,
2,208,0.09195685386657715,
2,208,0.09175217896699905,
2,208,0.09177743643522263,
2,208,0.09200461953878403,
2,208,0.09148330241441727,
2,208,0.09164910018444061,
2,208,0.09177912771701813,
2,208,0.09174712002277374,
2,208,0.09160754829645157,
2,208,0.09174007922410965,
2,208,0.09172958135604858,
2,208,0.09185480326414108,
2,208,0.09190608561038971,
2,208,0.09195654094219208,
2,208,0.09172540158033371,
2,208,0.09180872142314911,
2,208,0.0918247178196907,
2,208,0.09176044911146164,
2,208,0.09172505885362625,
2,208,0.09170595556497574,
2,208,0.0918956995010376,
2,208,0.09174715727567673,
2,208,0.09185266494750977,
2,208,0.09191515296697617,
2,208,0.09176448732614517,
2,208,0.09167978912591934,
2,208,0.0918319970369339,
2,208,0.09161973744630814,
2,208,0.09153133630752563,
2,208,0.09170247614383698,
2,208,0.09188838303089142,
2,208,0.09179758280515671,
2,208,0.09158369153738022,
2,208,0.09164173156023026,
2,208,0.09161730110645294,
2,208,0.09176869690418243,
2,208,0.09180428087711334,
2,208,0.09177999198436737,
2,208,0.09203960001468658,
2,208,0.091888926923275,
2,208,0.09163447469472885,
2,208,0.09174088388681412,
2,208,0.09176855534315109,
2,208,0.0917736068367958,
2,208,0.09183172136545181,
2,208,0.09175897389650345,
2,208,0.09189999103546143,
2,208,0.09162159264087677,
2,208,0.09188199043273926,
2,208,0.09198983758687973,
2,208,0.09161077439785004,
2,208,0.09188421815633774,
2,208,0.09172815829515457,
2,208,0.09165497124195099,
2,208,0.09190364181995392,
2,208,0.09160041064023972,
2,208,0.0915265902876854,
2,208,0.09182798862457275,
2,208,0.0918097272515297,
2,208,0.09176115691661835,
2,208,0.09170205146074295,
2,208,0.09176653623580933,
2,208,0.0914824828505516,
2,208,0.0917486697435379,
2,208,0.09180745482444763,
2,208,0.09155687689781189,
2,208,0.09176573902368546,
2,208,0.0919370949268341,
2,208,0.0918189138174057,
2,208,0.09172676503658295,
2,208,0.09182582795619965,
2,208,0.09168413281440735,
2,208,0.09195422381162643,
2,208,0.09177018702030182,
2,208,0.09159889072179794,
2,208,0.09155066311359406,
2,208,0.09178194403648376,
2,208,0.09154220670461655,
2,208,0.09181305021047592,
2,208,0.09176841378211975,
2,208,0.09156365692615509,
2,208,0.0918886736035347,
2,208,0.09161252528429031,
2,208,0.0917770117521286,
2,208,0.09193915873765945,
2,208,0.09180480986833572,
2,208,0.09190583974123001,
2,208,0.09180911630392075,
2,208,0.09188267588615417,
2,208,0.09160850942134857,
2,208,0.09177505224943161,
2,208,0.09151050448417664,
2,208,0.09185996651649475,
2,208,0.09175029397010803,
2,208,0.09160035848617554,
2,208,0.09180840104818344,
2,208,0.09193825721740723,
2,208,0.09174026548862457,
