epoch,step,train/loss,val/rmse,val_loss
0,49,2.13432872442354e-06,,
0,99,1.801211965357652e-06,,
0,149,1.7164608152597793e-06,,
0,199,1.7535537608637242e-06,,
0,249,1.4098887959335116e-06,,
0,299,1.1468249567769817e-06,,
0,349,1.1525794434419367e-06,,
0,399,9.357796102449356e-07,,
0,449,1.2799198430002434e-06,,
0,499,1.0069445579574676e-06,,
0,549,9.937187996911234e-07,,
0,599,1.3225351267465157e-06,,
0,649,8.38793368984625e-07,,
0,699,9.948753358912654e-07,,
0,749,6.222567776603682e-07,,
0,799,8.439913585789327e-07,,
0,849,1.009361653814267e-06,,
0,899,6.251098625398299e-07,,
0,949,6.578032980542048e-07,,
0,999,6.926738933543675e-07,,
0,1049,6.914859227435954e-07,,
0,1099,8.534993867215235e-07,,
0,1149,6.814404400756757e-07,,
0,1199,1.0816644362421357e-06,,
0,1249,6.682342359454196e-07,,
0,1282,,0.0008696760050952435,0.0008696760050952435
1,1299,6.25828192823974e-07,,
1,1349,7.698775448261586e-07,,
1,1399,4.873855345977063e-07,,
1,1449,6.666290346402093e-07,,
1,1499,5.895143431189354e-07,,
1,1549,6.15622298028029e-07,,
1,1599,6.257359359551629e-07,,
1,1649,5.344544433683041e-07,,
1,1699,7.77726029355108e-07,,
1,1749,8.474110018141801e-07,,
1,1799,4.885159796685912e-07,,
1,1849,5.837513867845701e-07,,
1,1899,9.119656283473887e-07,,
1,1949,4.5232428647068446e-07,,
1,1999,5.67090694403305e-07,,
1,2049,6.886808137096523e-07,,
1,2099,5.837316052748065e-07,,
1,2149,6.104944532125955e-07,,
1,2199,4.3423327156233427e-07,,
1,2249,5.348359195522789e-07,,
1,2299,6.38914352748543e-05,,
1,2349,4.5158512307352794e-07,,
1,2399,5.514987719834608e-07,,
1,2449,5.083863356958318e-07,,
1,2499,4.4640148644248256e-07,,
1,2549,5.027527549827937e-07,,
1,2565,,0.0007902623619884253,0.0007902623619884253
2,2599,4.443676573373523e-07,,
2,2649,6.188309384924651e-07,,
2,2699,4.746614195028087e-07,,
2,2749,4.996002758161922e-07,,
2,2799,4.47464742592274e-07,,
2,2849,6.548368105541158e-07,,
2,2899,4.6672712983308884e-07,,
2,2949,6.379189017025055e-07,,
2,2999,3.726415513938264e-07,,
2,3049,5.117551609146176e-07,,
2,3099,3.8845462313474854e-07,,
2,3149,5.271468239698152e-07,,
2,3199,4.523838583736506e-07,,
2,3249,3.889186075411999e-07,,
2,3299,2.3155655526352348e-06,,
2,3349,5.45335808510572e-07,,
